Fold,Train Loss,Valid AUROC
1,2.159213,0.734044
1,2.159101,0.724919
1,2.159997,0.731819
1,2.159007,0.727881
1,2.157988,0.717225
1,2.159074,0.725694
1,2.159566,0.733456
1,2.15911,0.7356
1,2.159696,0.710512
1,2.160219,0.74005
1,2.159987,0.741331
1,2.159304,0.721106
1,2.15907,0.718394
1,2.159475,0.71725
1,2.158631,0.715656
1,2.159018,0.71625
1,2.158367,0.723325
1,2.158561,0.716494
1,2.158982,0.715469
1,2.159381,0.729088
1,2.158666,0.730144
1,2.15928,0.727344
1,2.158542,0.727975
1,2.158984,0.732637
1,2.159966,0.7183
1,2.159176,0.730931
1,2.159069,0.728825
1,2.158335,0.710487
1,2.158997,0.729406
1,2.158131,0.739681
1,2.159321,0.714619
1,2.158856,0.731806
1,2.159384,0.721237
1,2.160084,0.724225
1,2.159205,0.718444
1,2.158798,0.731281
1,2.159386,0.711412
1,2.158793,0.712356
1,2.159526,0.722844
1,2.158274,0.720913
1,2.158647,0.725138
1,2.159429,0.724112
1,2.159253,0.729006
1,2.158738,0.718169
1,2.159722,0.731044
1,2.160405,0.7198
1,2.158715,0.740081
1,2.159337,0.72265
1,2.15877,0.733613
1,2.158828,0.734494
2,2.157329,0.865969
2,2.157377,0.876331
2,2.157963,0.867087
2,2.158014,0.856356
2,2.157409,0.875731
2,2.15693,0.875388
2,2.156908,0.863137
2,2.157323,0.876844
2,2.156462,0.873638
2,2.156232,0.871831
2,2.157816,0.865994
2,2.157343,0.871056
2,2.157117,0.872719
2,2.157684,0.886838
2,2.157735,0.8747
2,2.157451,0.878619
2,2.157874,0.8753
2,2.157809,0.884206
2,2.156912,0.882369
2,2.156969,0.874119
2,2.15758,0.868744
2,2.157112,0.876306
2,2.157381,0.872762
2,2.157664,0.874081
2,2.157552,0.877225
2,2.1575,0.87825
2,2.157813,0.875113
2,2.157828,0.879275
2,2.156558,0.872119
2,2.158047,0.868087
2,2.15732,0.871325
2,2.1571,0.876006
2,2.157804,0.871588
2,2.157249,0.872181
2,2.157055,0.872363
2,2.156789,0.879006
2,2.157283,0.872306
2,2.157284,0.877537
2,2.157567,0.877
2,2.158424,0.863625
2,2.156771,0.872512
2,2.157612,0.866469
2,2.157603,0.87105
2,2.157596,0.880887
2,2.157381,0.8808
2,2.157982,0.882944
2,2.157159,0.873188
2,2.156792,0.879106
2,2.158385,0.872425
2,2.156613,0.875563
3,2.169001,0.727081
3,2.168191,0.730262
3,2.16912,0.7292
3,2.168674,0.720894
3,2.168821,0.725987
3,2.168869,0.719094
3,2.168596,0.7215
3,2.168566,0.725081
3,2.170047,0.715563
3,2.169328,0.72785
3,2.169252,0.729506
3,2.16854,0.730444
3,2.16869,0.7112
3,2.168409,0.716075
3,2.168713,0.728231
3,2.16862,0.729813
3,2.167649,0.729587
3,2.16917,0.728919
3,2.169028,0.731206
3,2.168035,0.722862
3,2.168686,0.720931
3,2.169856,0.7192
3,2.169932,0.728894
3,2.169171,0.725031
3,2.169233,0.730081
3,2.168443,0.728938
3,2.168785,0.718288
3,2.168648,0.728487
3,2.168726,0.719
3,2.169486,0.729425
3,2.168361,0.726838
3,2.168645,0.728581
3,2.167988,0.727125
3,2.169582,0.734731
3,2.16911,0.712531
3,2.169174,0.722437
3,2.168435,0.7268
3,2.167845,0.727887
3,2.169451,0.720694
3,2.168772,0.7119
3,2.168235,0.72225
3,2.168448,0.726662
3,2.169529,0.723106
3,2.168688,0.713956
3,2.168822,0.716494
3,2.169984,0.731019
3,2.167693,0.735087
3,2.169578,0.72445
3,2.169198,0.718225
3,2.168815,0.720925
4,2.163655,0.829194
4,2.163201,0.819994
4,2.164391,0.817613
4,2.164289,0.822781
4,2.162829,0.8202
4,2.16336,0.822619
4,2.164369,0.819531
4,2.163103,0.830006
4,2.163272,0.824856
4,2.163977,0.826606
4,2.164863,0.822744
4,2.164216,0.81545
4,2.164468,0.816587
4,2.163598,0.816181
4,2.164156,0.824844
4,2.16392,0.818788
4,2.164035,0.824562
4,2.164088,0.819519
4,2.164082,0.824237
4,2.164055,0.826219
4,2.16296,0.827256
4,2.162733,0.826137
4,2.162926,0.816656
4,2.164101,0.8208
4,2.164547,0.818919
4,2.163577,0.824731
4,2.164631,0.827619
4,2.163552,0.821037
4,2.163546,0.829631
4,2.164302,0.831712
4,2.163703,0.824525
4,2.163597,0.815825
4,2.163691,0.820394
4,2.163969,0.825862
4,2.162823,0.827019
4,2.164381,0.820719
4,2.164942,0.825463
4,2.162755,0.822213
4,2.163392,0.821144
4,2.163401,0.822381
4,2.162704,0.821394
4,2.163058,0.826262
4,2.163372,0.819388
4,2.163441,0.82275
4,2.163697,0.826519
4,2.164513,0.822363
4,2.162165,0.8278
4,2.164708,0.821463
4,2.163732,0.825419
4,2.163014,0.821487
5,2.166864,0.653987
5,2.167401,0.651563
5,2.166812,0.630463
5,2.167364,0.620644
5,2.167039,0.632469
5,2.167412,0.635169
5,2.167532,0.636962
5,2.166434,0.620287
5,2.168535,0.637244
5,2.166703,0.619806
5,2.168318,0.625581
5,2.166737,0.618413
5,2.166533,0.633037
5,2.16627,0.634419
5,2.167309,0.622556
5,2.167348,0.624938
5,2.167493,0.64065
5,2.167136,0.648713
5,2.167459,0.630106
5,2.166656,0.62655
5,2.167309,0.640219
5,2.166892,0.6253
5,2.166737,0.65285
5,2.166827,0.627556
5,2.166611,0.620094
5,2.166386,0.626556
5,2.166819,0.640206
5,2.167208,0.624769
5,2.167276,0.603169
5,2.167181,0.633831
5,2.167282,0.645513
5,2.167934,0.636819
5,2.166501,0.617406
5,2.167341,0.651156
5,2.166894,0.633569
5,2.166182,0.635281
5,2.166612,0.638906
5,2.166767,0.630594
5,2.166612,0.623088
5,2.16732,0.619938
5,2.167396,0.620756
5,2.167062,0.646331
5,2.166966,0.647044
5,2.16702,0.623975
5,2.16736,0.606981
5,2.167041,0.644394
5,2.167288,0.635181
5,2.166934,0.621612
5,2.167002,0.626856
5,2.167437,0.655106
